step,time,component,voltage,current,energy_stored,energy_consumed,total_energy_consumed
27,6.75,storage,1.8929640453051748,0.00244281438187793,0.017916564384090658,NaN,NaN
27,6.75,load,0.0,0.0,NaN,0.0,0.0
28,7.0,supply,8.0,NaN,NaN,NaN,NaN
28,7.0,storage,1.9537300683541963,0.002418507972658322,0.019085305899956464,NaN,NaN
28,7.0,load,0.0,0.0,NaN,0.0,0.0
29,7.25,supply,8.0,NaN,NaN,NaN,NaN
29,7.25,storage,2.013891459371478,0.0023944434162514088,0.020278794050646903,NaN,NaN
29,7.25,load,0.0,0.0,NaN,0.0,0.0
30,7.5,supply,8.0,NaN,NaN,NaN,NaN
30,7.5,storage,2.073454234546257,0.0023706183061814974,0.021496062313789022,NaN,NaN
30,7.5,load,0.0,0.0,NaN,0.0,0.0
31,7.75,supply,8.0,NaN,NaN,NaN,NaN
31,7.75,storage,2.132424350205686,0.0023470302599177257,0.022736168046750712,NaN,NaN
31,7.75,load,0.0,0.0,NaN,0.0,0.0
32,8.0,supply,8.0,NaN,NaN,NaN,NaN
32,8.0,storage,2.1908077034104725,0.0023236769186358113,0.023998191966613344,NaN,NaN
32,8.0,load,0.0,0.0,NaN,0.0,0.0
33,8.25,supply,8.0,NaN,NaN,NaN,NaN
33,8.25,storage,2.2486101325445906,0.002300555946982164,0.025281237640911006,NaN,NaN
33,8.25,load,0.0,0.0,NaN,0.0,0.0
34,8.5,supply,8.0,NaN,NaN,NaN,NaN
34,8.5,storage,2.3058374178991228,0.002277665032840351,0.026584430988918467,NaN,NaN
34,8.5,load,0.0,0.0,NaN,0.0,0.0
35,8.75,supply,8.0,NaN,NaN,NaN,NaN
35,8.75,storage,2.3624952822502925,0.002255001887099883,0.02790691979327445,NaN,NaN
35,8.75,load,0.0,0.0,NaN,0.0,0.0
36,9.0,supply,8.0,NaN,NaN,NaN,NaN
36,9.0,storage,2.418589391431752,0.0022325642434272994,0.029247873221731058,NaN,NaN
36,9.0,load,0.0,0.0,NaN,0.0,0.0
37,9.25,supply,8.0,NaN,NaN,NaN,NaN
37,9.25,storage,2.4741253549011626,0.002210349858039535,0.03060648135882402,NaN,NaN
37,9.25,load,0.0,0.0,NaN,0.0,0.0
38,9.5,supply,8.0,NaN,NaN,NaN,NaN
38,9.5,storage,2.5291087263011534,0.0021883565094795387,0.03198195474726321,NaN,NaN
38,9.5,load,0.0,0.0,NaN,0.0,0.0
39,9.75,supply,8.0,NaN,NaN,NaN,NaN
39,9.75,storage,2.583545004014683,0.002166581998394127,0.033373523938846135,NaN,NaN
